,proyecto,entidad,sectorial,P2017,C2017,D2017,P2018,C2018,D2018,P2019,C2019,D2019,P2020,C2020,D2020,P2021,C2021,D2021,text
3204,   recuperacion de las capacidades y eficiencia del sistema de vigilancia aeromaritima uav para el control de los espacios acuaticos,  ministerio de defensa nacional,  sectorial defensa nacional,0.0,0.0,0.0,175941.40000000002,26731062.11,454584.67,107291.86,9000000.0,749520.66,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio de defensa nacional   recuperacion de las capacidades y eficiencia del sistema de vigilancia aeromaritima uav para el control de los espacios acuaticos  sectorial defensa nacional
3205,   recuperacion del patrimonio cultural inmueble en las provincias de manabibolivar y esmeraldas,  instituto nacional de patrimonio cultural,  sectorial educacion,509717.60000000003,1729750.0,509717.60000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  instituto nacional de patrimonio cultural   recuperacion del patrimonio cultural inmueble en las provincias de manabibolivar y esmeraldas  sectorial educacion
3206,   recuperacion integral de infraestructura de talleres de carpinteria lacado pintura metalmecanica y costura de crs e,  ministerio de justicia  derechos humanos y cultos,  sectorial asuntos internos,7158.91,201630.89999999994,10192.349999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio de justicia  derechos humanos y cultos   recuperacion integral de infraestructura de talleres de carpinteria lacado pintura metalmecanica y costura de crs e  sectorial asuntos internos
3207,   recuperacion y mejoramiento de los repositorios de,  ministerio de cultura y patrimonio,  sectorial educacion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60722.03,5614490.5200000005,283612.13,0.0,0.0,0.0,  ministerio de cultura y patrimonio   recuperacion y mejoramiento de los repositorios de  sectorial educacion
3208,   recuperacion y mejoramiento de los repositorios de la memoria: museos  bibliotecas  archivos y procesos de la me,  ministerio de cultura y patrimonio,  sectorial educacion,0.0,0.0,0.0,5088238.18,16140129.16,6599786.52,1498541.8,6799802.5,1818157.7,0.0,0.0,0.0,53912.99,4828951.470000001,107825.98,  ministerio de cultura y patrimonio   recuperacion y mejoramiento de los repositorios de la memoria: museos  bibliotecas  archivos y procesos de la me  sectorial educacion
3209,   recuperacion y mejoramiento de los repositorios de la memoria: museos bibliotecas archivos y procesos de la memoria social y colectiva,  ministerio de cultura y patrimonio,  sectorial educacion,688198.45,922242.6000000001,688198.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio de cultura y patrimonio   recuperacion y mejoramiento de los repositorios de la memoria: museos bibliotecas archivos y procesos de la memoria social y colectiva  sectorial educacion
3210,   red de estudios cienciometricos (redec),  universidad tecnica de cotopaxi,  sectorial educacion,3955.45,3955.45,3955.45,88423.12,187351.34000000003,88423.12,2324.0,27890.600000000006,2324.0,0.0,4962.680000000001,0.0,0.0,0.0,0.0,  universidad tecnica de cotopaxi   red de estudios cienciometricos (redec)  sectorial educacion
3211,   red intersectorial de servicios sociales,  secretaria tecnica del plan toda una vida,  sectorial administrativo,1065155.53,2114416.29,1065155.53,0.0,715776.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  secretaria tecnica del plan toda una vida   red intersectorial de servicios sociales  sectorial administrativo
3212,   reduccion de personal y renuncias voluntarias,  escuela superior politecnica del chimborazo,  sectorial educacion,1882964.94,3650268.5500000003,1957304.94,4107720.0,22225903.679999996,4107720.0,3112722.0,4525298.71,3459642.0,2922121.09,8600964.0,2922121.09,4062150.0,6038413.529999999,4161270.0,  escuela superior politecnica del chimborazo   reduccion de personal y renuncias voluntarias  sectorial educacion
3213,   reduccion de riesgos ante los desastres naturales en la comunidad educativa en ecuador,  ministerio de educacion,  sectorial educacion,4342652.640000001,6765248.800000002,4518708.090000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio de educacion   reduccion de riesgos ante los desastres naturales en la comunidad educativa en ecuador  sectorial educacion
3214,"   reduccion de riesgos ante los desastres naturales, en la comunidad educativa del ecuador",  ministerio de educacion,  sectorial educacion,0.0,0.0,0.0,0.0,8248.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"  ministerio de educacion   reduccion de riesgos ante los desastres naturales, en la comunidad educativa del ecuador  sectorial educacion"
3215,   reestructuracion del centro de rehabilitacion social de quevedo,  ministerio de justicia  derechos humanos y cultos,  sectorial asuntos internos,1573.36,189984.00000000003,2240.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio de justicia  derechos humanos y cultos   reestructuracion del centro de rehabilitacion social de quevedo  sectorial asuntos internos
3216,   reestructuracion del centro de rehabilitacion social uno guayaquil,  ministerio de justicia  derechos humanos y cultos,  sectorial asuntos internos,0.0,128820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ministerio de justicia  derechos humanos y cultos   reestructuracion del centro de rehabilitacion social uno guayaquil  sectorial asuntos internos
3217,   reestructuracion del sistema de rehabilitacion social,  servicio nacional de atencion integral a personas adultas privadas de la libertad y a adolescentes infractores,  sectorial asuntos internos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10339778.67,0.0,  servicio nacional de atencion integral a personas adultas privadas de la libertad y a adolescentes infractores   reestructuracion del sistema de rehabilitacion social  sectorial asuntos internos
