,target,sdg,text
45,G5T8,G5,lograr la igualdad entre los generos y empoderar a todas las mujeres y las ninas mejorar el uso de la tecnologia instrumental en particular la tecnologia de la informacion y las comunicaciones para promover el empoderamiento de las mujeres lograr la igualdad entre los generos y empoderar a todas las mujeres y las ninas
46,G5T9,G5,lograr la igualdad entre los generos y empoderar a todas las mujeres y las ninas aprobar y fortalecer politicas acertadas y leyes aplicables para promover la igualdad de genero y el empoderamiento de todas las mujeres y las ninas a todos los niveles lograr la igualdad entre los generos y empoderar a todas las mujeres y las ninas
47,G6T1,G6,garantizar la disponibilidad de agua y su gestion sostenible y el saneamiento para todos de aqui a lograr el acceso universal y equitativo al agua potable a un precio asequible para todos garantizar la disponibilidad de agua y su gestion sostenible y el saneamiento para todos
48,G6T2,G6,garantizar la disponibilidad de agua y su gestion sostenible y el saneamiento para todos de aqui a lograr el acceso a servicios de saneamiento e higiene adecuados y equitativos para todos y poner fin a la defecacion al aire libre prestando especial atencion a las necesidades de las mujeres y las ninas y las personas en situaciones de vulnerabilidad garantizar la disponibilidad de agua y su gestion sostenible y el saneamiento para todos
49,G6T3,G6,garantizar la disponibilidad de agua y su gestion sostenible y el saneamiento para todos de aqui a mejorar la calidad del agua reduciendo la contaminacion eliminando el vertimiento y minimizando la emision de productos quimicos y materiales peligrosos reduciendo a la mitad el porcentaje de aguas residuales sin tratar y aumentando considerablemente el reciclado y la reutilizacion sin riesgos a nivel mundial garantizar la disponibilidad de agua y su gestion sostenible y el saneamiento para todos
50,G6T4,G6,garantizar la disponibilidad de agua y su gestion sostenible y el saneamiento para todos de aqui a aumentar considerablemente el uso eficiente de los recursos hidricos en todos los sectores y asegurar la sostenibilidad de la extraccion y el abastecimiento de agua dulce para hacer frente a la escasez de agua y reducir considerablemente el numero de personas que sufren falta de agua garantizar la disponibilidad de agua y su gestion sostenible y el saneamiento para todos
51,G6T5,G6,garantizar la disponibilidad de agua y su gestion sostenible y el saneamiento para todos de aqui a implementar la gestion integrada de los recursos hidricos a todos los niveles incluso mediante la cooperacion transfronteriza segun proceda garantizar la disponibilidad de agua y su gestion sostenible y el saneamiento para todos
52,G6T6,G6,garantizar la disponibilidad de agua y su gestion sostenible y el saneamiento para todos de aqui a proteger y restablecer los ecosistemas relacionados con el agua incluidos los bosques las montanas los humedales los rios los acuiferos y los lagos garantizar la disponibilidad de agua y su gestion sostenible y el saneamiento para todos
53,G6T7,G6,garantizar la disponibilidad de agua y su gestion sostenible y el saneamiento para todos de aqui a ampliar la cooperacion internacional y el apoyo prestado a los paises en desarrollo para la creacion de capacidad en actividades y programas relativos al agua y el saneamiento como los de captacion de agua desalinizacion uso eficiente de los recursos hidricos tratamiento de aguas residuales reciclado y tecnologias de reutilizacion garantizar la disponibilidad de agua y su gestion sostenible y el saneamiento para todos
54,G6T8,G6,garantizar la disponibilidad de agua y su gestion sostenible y el saneamiento para todos apoyar y fortalecer la participacion de las comunidades locales en la mejora de la gestion del agua y el saneamiento garantizar la disponibilidad de agua y su gestion sostenible y el saneamiento para todos
