id,proyecto,entidad,sectorial,C2017,D2017,C2018,D2018,C2019,D2019,C2020,D2020,C2021,D2021,ctotal,dtotal
P2086S04E040,proyecto de recuperacion de las areas protegidas d,ministerio del ambiente,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,4107099.17,1102057.74,114129.77,0.0,4221228.9399999995,1102057.74
P2087S04E045,fortalecimiento al consejo de gobierno del regimen,consejo de gobierno del regimen especial de galapagos,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,173196259.4,27718047.909999996,163611022.93,23229380.22,336807282.33000004,50947428.129999995
P2088S04E045,adquisicion de kits de alimentos e insumos medicos de tratamiento del covid-19 para la atencion de la emergenci,consejo de gobierno del regimen especial de galapagos,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,547065.9,0.0,3282395.4,223755.0,3829461.3,223755.0
P2089S04E047,consolidacion del sistema de prevencion control y,agencia de regulacion y control de la bioseguriad y cuarentena para galapagos,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,2321425.0,123074.26,0.0,0.0,2321425.0,123074.26
P208S04E040,programa conservacion de bosques y redd+,ministerio del ambiente,sectorial ambiente,10778551.729999999,470541.74,16548709.13,767535.86,9928092.179999996,2546216.6300000004,18533871.13,4255358.32,991412.27,0.0,56780636.43999999,8039652.550000001
P208S04E609,programa conservacion de bosques y redd+,ministerio del ambiente agua y transicion ecologica,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,17148703.29,172431.02,15286087.23,647673.92,32434790.52,820104.9400000001
P2090S04E254,fortalecimiento de la cobertura logistica para ate,secretaria tecnica de la circunscripcion territorial especial amazonica,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,65853027.720000006,626701.36,0.0,0.0,65853027.720000006,626701.36
P2091S04E254,estudio de prefactibilidad de los pasivos ambienta,secretaria tecnica de la circunscripcion territorial especial amazonica,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,24068260.29,0.0,0.0,0.0,24068260.29,0.0
P2092S04E254,fortalecimiento institucional de la secretaria tec,secretaria tecnica de la circunscripcion territorial especial amazonica,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,5039610.0,43758.0,0.0,0.0,5039610.0,43758.0
P2093S04E254,construccion de puentes congantes en la provincia de pastaza,secretaria tecnica de la circunscripcion territorial especial amazonica,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2094S04E330,infraestructura sostenible para el buen vivir isle,parque nacional galapagos,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,4129753.1399999997,313753.36,0.0,0.0,4129753.1399999997,313753.36
P2095S04E330,proyecto de control y erradicacion de especies inv,parque nacional galapagos,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,4440000.0,0.0,0.0,0.0,4440000.0,0.0
P2096S04E609,agua y saneamiento en comunidades rurales y pequeos municipios,ministerio del ambiente y agua,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,28332652.560000002,177590.08000000002,0.0,0.0,28332652.560000002,177590.08000000002
P2097S04E609,proyecto de ap del sistema regional pesillo - imbabura,ministerio del ambiente y agua,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2098S04E609,conservacion y mantenimiento de cuencas hidrograficas,ministerio del ambiente y agua,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2099S04E609,construccion de tapes y albarradas,ministerio del ambiente y agua,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P209S04E040,registro de emisiones y transferencias de contaminantes,ministerio del ambiente,sectorial ambiente,2188977.3599999994,423662.66,2885019.05,546824.58,1495226.6600000001,415419.0200000001,0.0,0.0,0.0,0.0,6569223.069999999,1385906.26
P20S00E996,proyecto ciudad del conocimiento,ingresos y transferencias,sectorial tesoro nacional,1830012984.8799996,245638736.57,1074332218.34,33666727.04,653711891.44,76035020.2,104740417.86000001,9480835.72,2370208.93,0.0,3665167721.4499993,364821319.53000003
P20S03E067,proyecto ciudad del conocimiento,servicio de gestion inmobiliaria del sector publico inmobiliar,sectorial administrativo,379224.16,255874.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379224.16,255874.4
P20S09E183,proyecto ciudad del conocimiento,universidad de investigacion de tecnologia experimental yachay,sectorial educacion,148714940.53,8869737.37,15813447.02,3318689.21,0.0,0.0,0.0,0.0,0.0,0.0,164528387.55,12188426.579999998
P20S17E520,proyecto ciudad del conocimiento,ministerio de transporte y obras publicas,sectorial comunicaciones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P20S18E560,proyecto ciudad del conocimiento,servicio de contratacion de obras - secob,sectorial desarrollo urbano y vivienda,1602822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1602822.0,0.0
P2100S04E609,gestion integrada para la lucha contra la desertificacion degradacion de la tierra y adaptacion al cambio clima,ministerio del ambiente agua y transicion ecologica,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24825.39,12281.89,24825.39,12281.89
P2101S04E609,marco legal y normativo para la gestion integrada del agua,ministerio del ambiente y agua,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2102S04E609,programa nacional para la reforestacion con fines de proteccion de las cuencas hidrograficas del ecuador,ministerio del ambiente y agua,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2103S04E609,construccion y mantenimiento de tanques estacionarios,ministerio del ambiente y agua,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2104S04E609,estrategia y reacentamiento y anteproyecto de la infraestructura para los damnificados del proyecto multiproposito,ministerio del ambiente y agua,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2105S04E609,programa nacional de reforestacion con fines de conservacion ambiental proteccion de cuencas hidrograficas y be,ministerio del ambiente agua y transicion ecologica,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,7068482.800000001,2024605.2799999998,14360998.729999995,6751024.869999999,21429481.529999994,8775630.149999999
P2106S04E609,operacion y mantenimiento presa la esperanza phima,ministerio del ambiente y agua,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2107S04E609,registro de emisiones y transferencias de contaminantes.,ministerio del ambiente agua y transicion ecologica,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,106782.81,55685.83,15422.69,624.33,122205.5,56310.16
P2108S04E609,gestion integral de desechos solidos.,ministerio del ambiente agua y transicion ecologica,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,3149984.3,831357.74,5493867.23,2509735.5,8643851.530000001,3341093.24
P2109S04E609,planta de tratamiento ceibal cuatro esquinas y lineas de conduccion,ministerio del ambiente y agua,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P210S04E040,programa nacional de reforestacion con fines de conservacion ambiental proteccion de cuencas hidrograficas y ben,ministerio del ambiente,sectorial ambiente,113167008.78000002,12206490.52,59240234.90999999,9025625.83,30487026.18,11678983.42,0.0,0.0,0.0,0.0,202894269.87,32911099.770000003
P2110S04E609,proyecto multiple jama,ministerio del ambiente y agua,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2111S04E609,control de inundaciones cuenca baja del rio guayas,ministerio del ambiente y agua,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2112S04E609,conservacion de la cuenca del rio catamayo,ministerio del ambiente y agua,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2113S04E609,manejo de recursos costeros fase ii,ministerio del ambiente y agua,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P2114S04E609,obras de mantenimiento del sistema control de inundaciones de la cuenca baja del guayas sistema trasvase daule-sant,ministerio del ambiente y agua,sectorial ambiente,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
